RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Cat_Geography_France,Cat_Geography_Germany,Cat_Geography_Spain
1,15634602,Hargrave,228,0,24,2,0,0,1,1,5068,1,1,0,0
2,15647311,Hill,217,0,23,1,743,0,0,1,5639,0,0,0,1
3,15619304,Onio,111,0,24,8,5793,2,1,0,5707,1,1,0,0
4,15701354,Boni,308,0,21,1,0,1,0,0,4704,0,1,0,0
5,15737888,Mitchell,459,0,25,2,3696,0,1,1,3925,0,0,0,1
6,15574012,Chu,254,1,26,8,2674,1,1,0,7531,1,0,0,1
7,15592531,Bartlett,431,1,32,7,0,1,1,1,513,0,1,0,0
8,15656148,Obinna,8,0,11,4,2781,3,1,0,5978,1,0,1,0
9,15792365,He,110,1,26,4,4962,1,0,1,3718,0,1,0,0
10,15592389,H?,293,1,9,2,4450,0,1,1,3550,0,1,0,0
11,15767821,Bearce,137,1,13,6,1719,1,0,0,3994,0,1,0,0
12,15737173,Andrews,106,1,6,3,0,1,1,0,3783,0,0,0,1
13,15632264,Kay,85,0,16,10,0,1,1,0,1283,0,1,0,0
14,15691483,Chin,158,0,7,5,0,1,0,0,9529,0,1,0,0
15,15600882,Scott,244,0,17,7,0,1,1,1,3276,0,0,0,1
16,15643966,Goforth,225,1,27,3,5028,1,0,1,3182,0,0,1,0
17,15737452,Romeo,262,1,40,1,4293,0,1,0,269,1,0,1,0
18,15788218,Henderson,158,0,6,9,0,1,1,1,727,0,0,0,1
19,15661507,Muldrow,196,1,27,6,0,0,0,0,7934,0,0,0,1
20,15568982,Hao,335,0,6,6,0,1,1,1,2687,0,1,0,0
21,15577657,McDonald,341,1,23,8,0,1,1,1,8530,0,1,0,0
22,15597945,Dellucci,245,0,14,8,0,1,1,0,6962,0,0,0,1
23,15699309,Gerasimov,119,0,20,4,0,0,1,0,5955,1,0,0,1
24,15725737,Mosman,278,1,28,3,0,1,0,1,418,0,1,0,0
25,15625047,Yen,455,0,20,5,0,0,1,1,9367,0,1,0,0
26,15738191,Maclean,186,1,7,3,0,1,0,1,6243,0,1,0,0
27,15736816,Young,365,1,18,2,4589,0,1,1,8486,0,0,1,0
28,15700772,Nebechi,180,1,26,9,0,1,0,0,1889,0,1,0,0
29,15728693,McWilliams,183,0,25,3,4910,0,1,1,4998,0,0,1,0
30,15656300,Lucciano,20,1,11,0,152,1,1,1,2623,0,1,0,0
31,15589475,Azikiwe,200,0,21,3,0,2,1,0,7048,1,0,0,1
32,15706552,Odinakachukwu,142,1,18,7,799,0,0,1,7833,0,1,0,0
33,15750181,Sanderson,162,1,23,9,2380,1,0,0,4080,0,0,1,0
34,15659428,Maggard,129,0,24,6,0,1,1,1,1684,0,0,0,1
35,15732963,Clements,331,0,11,9,0,1,1,1,7131,0,0,0,1
36,15794171,Lombardo,84,0,27,0,4428,0,1,0,1373,1,1,0,0
37,15788448,Watson,99,1,13,3,5155,0,0,1,5712,0,0,0,1
38,15729599,Lorenzo,413,1,15,7,467,0,0,1,4923,0,0,0,1
39,15717426,Armstrong,459,1,18,7,0,0,1,1,1990,0,1,0,0
40,15585768,Cameron,191,1,23,6,319,1,0,1,8914,0,0,1,0
41,15619360,Hsiao,81,1,22,4,0,0,1,0,3470,0,0,0,1
42,15738148,Clarke,74,0,33,8,3431,0,0,0,9080,1,1,0,0
43,15687946,Osborne,165,0,43,2,2994,0,1,1,4724,0,1,0,0
44,15755196,Lavine,443,0,31,2,4200,0,0,0,9709,1,1,0,0
45,15684171,Bianchi,269,0,43,5,5677,0,1,1,7911,0,0,0,1
46,15754849,Tyler,385,0,14,4,2324,1,1,1,6360,0,0,1,0
47,15602280,Martin,438,0,9,9,2537,0,1,1,5998,1,0,1,0
48,15771573,Okagbue,246,0,21,9,4674,0,1,1,5901,1,0,1,0
49,15766205,Yin,159,1,20,2,1831,0,0,1,4533,0,0,1,0
50,15771873,Buccho,385,0,19,2,1859,1,1,0,9694,0,0,1,0
51,15616550,Chidiebele,307,1,26,10,2904,1,1,0,9896,0,0,1,0
52,15768193,Trevisani,194,1,18,5,5202,1,0,0,4320,0,0,1,0
53,15683553,O'Brien,397,0,15,5,0,1,0,0,5873,0,1,0,0
54,15702298,Parkhill,264,1,23,8,3704,0,0,0,8199,1,0,1,0
55,15569590,Yoo,210,1,24,1,1472,0,1,0,1954,1,0,1,0
56,15760861,Phillipps,228,1,25,1,3668,0,1,1,5680,0,1,0,0
57,15630053,Tsao,265,1,27,5,3911,0,1,0,4359,0,1,0,0
58,15647091,Endrizzi,334,1,1,0,448,0,0,0,2226,0,0,1,0
59,15623944,T'ien,120,0,48,4,0,0,1,0,90,1,0,0,1
60,15804771,Velazquez,223,1,33,4,35,0,1,1,2278,0,1,0,0
61,15651280,Hunter,351,1,17,5,4594,0,0,0,4218,0,0,1,0
62,15773469,Clark,296,0,9,9,5523,1,0,0,6358,0,0,1,0
63,15702014,Jeffrey,164,1,15,1,110,1,0,0,8952,0,0,0,1
64,15751208,Pirozzi,293,1,38,8,533,0,1,1,4961,0,0,0,1
65,15592461,Jackson,212,1,8,4,2306,0,1,1,4635,0,0,1,0
66,15789484,Hammond,360,0,18,6,6058,1,1,1,1370,0,0,1,0
67,15696061,Brownless,190,0,16,1,1697,0,1,0,5543,0,0,1,0
68,15641582,Chibugo,344,1,25,10,3484,1,1,1,9825,0,0,1,0
69,15638424,Glauert,270,0,17,5,5443,1,0,1,5695,0,0,1,0
70,15755648,Pisano,284,0,3,8,1462,0,1,0,895,0,1,0,0
71,15703793,Konovalova,347,1,40,2,4383,3,1,0,1408,1,0,1,0
72,15620344,McKee,422,1,11,6,0,0,1,0,1662,0,1,0,0
73,15812518,Palermo,266,0,19,0,5895,0,0,1,2155,0,0,0,1
74,15779052,Ballard,213,0,7,5,5745,1,1,1,2884,0,0,1,0
75,15770811,Wallace,128,1,18,9,0,1,0,1,7309,0,1,0,0
76,15780961,Cavenagh,344,0,3,1,6205,1,1,0,1100,0,1,0,0
77,15614049,Hu,273,1,37,8,0,1,1,1,6988,0,1,0,0
78,15662085,Read,287,0,14,9,0,0,1,1,7446,0,1,0,0
79,15575185,Bushell,366,1,15,5,487,0,0,1,9700,0,0,0,1
80,15803136,Postle,25,0,23,10,3393,1,1,0,4915,0,0,1,0
81,15706021,Buley,274,0,16,1,1339,1,0,0,8557,0,1,0,0
82,15663706,Leonard,386,0,14,2,0,0,1,0,6841,1,1,0,0
83,15641732,Mills,152,0,18,3,0,1,0,0,1267,0,1,0,0
84,15701164,Onyeorulu,115,0,16,4,999,0,1,1,7961,0,1,0,0
85,15738751,Beit,102,0,28,4,0,1,1,0,103,0,1,0,0
86,15805254,Ndukaku,261,0,57,10,0,1,1,1,5742,0,0,0,1
87,15762418,Gant,359,1,4,3,3350,0,1,0,6461,1,0,0,1
88,15625759,Rowley,338,1,12,9,0,1,1,0,7621,0,1,0,0
89,15622897,Sharpe,255,0,28,4,0,2,1,0,4666,1,1,0,0
90,15767954,Osborne,244,0,10,3,646,1,1,1,7838,0,0,1,0
91,15757535,Heap,256,0,26,5,0,2,1,1,8703,1,0,0,1
92,15731511,Ritchie,417,1,27,7,3094,1,1,0,7397,0,1,0,0
93,15809248,Cole,133,0,18,10,0,1,1,0,5506,0,1,0,0
94,15640635,Capon,378,1,11,8,0,1,1,1,8604,0,1,0,0
95,15676966,Capon,339,1,24,4,0,1,0,1,4295,0,0,0,1
96,15699461,Fiorentini,124,1,17,10,6174,0,0,1,6081,0,0,0,1
97,15738721,Graham,382,1,23,9,1784,0,0,1,3200,0,0,0,1
98,15693683,Yuille,423,1,11,8,1379,1,1,1,9851,0,0,1,0
99,15604348,Allard,319,1,4,8,0,1,0,0,4972,0,0,0,1
100,15633059,Fanucci,22,1,16,9,0,1,0,0,335,0,1,0,0
101,15808582,Fu,274,0,22,6,0,0,1,1,8087,0,1,0,0
102,15743192,Hung,232,0,26,6,0,1,0,0,8346,0,1,0,0
103,15580146,Hung,347,1,13,9,688,0,1,0,2057,0,1,0,0
104,15776605,Bradley,137,1,18,7,0,1,1,0,2986,0,0,0,1
105,15804919,Dunbabin,279,0,47,1,0,0,1,1,8885,1,0,0,1
106,15613854,Mauldon,231,0,28,4,2123,1,1,1,1515,1,0,0,1
107,15599195,Stiger,191,1,14,1,939,0,1,1,512,0,0,1,0
108,15812878,Parsons,394,0,18,2,1567,0,0,1,1820,0,0,1,0
109,15602312,Walkom,214,1,15,5,5414,0,0,0,3557,0,0,0,1
110,15744689,T'ang,88,1,17,9,1131,0,1,0,4963,1,0,1,0
111,15803526,Eremenko,294,1,12,3,1011,0,0,1,3124,0,0,1,0
112,15665790,Rowntree,147,1,21,7,2199,1,1,0,1333,0,0,1,0
113,15715951,Thorpe,171,1,24,2,1599,0,0,0,4342,0,1,0,0
114,15591100,Chiemela,284,1,18,9,2047,0,0,1,1128,0,0,0,1
115,15609618,Fanucci,330,1,10,9,5616,1,0,1,5064,1,0,1,0
116,15675522,Ko,237,0,12,9,4273,1,1,1,3672,0,0,1,0
117,15705512,Welch,277,0,19,6,6015,0,1,0,5791,0,0,1,0
118,15698028,Duncan,115,0,23,1,0,1,1,0,1556,0,1,0,0
119,15661670,Chidozie,133,0,13,8,2178,0,1,0,9984,1,0,1,0
120,15600781,Wu,308,1,16,4,6270,1,1,0,6056,0,0,1,0
121,15682472,Culbreth,437,1,16,8,4043,1,0,0,1873,0,1,0,0
122,15580203,Kennedy,283,1,21,6,3221,0,0,0,4994,0,0,0,1
123,15690673,Cameron,265,0,21,6,0,1,1,0,7082,0,1,0,0
124,15760085,Calabresi,293,0,30,10,3765,0,1,1,9902,0,0,1,0
125,15779659,Zetticci,234,0,10,3,0,0,0,0,9201,0,1,0,0
126,15627360,Fuller,41,1,24,9,5539,0,1,0,5534,1,1,0,0
127,15671137,MacDonald,158,0,34,1,0,0,0,1,424,1,1,0,0
128,15782688,Piccio,234,1,38,0,5336,0,1,0,2283,1,0,1,0
129,15575492,Kennedy,437,0,23,7,0,1,1,0,8556,0,1,0,0
130,15591607,Fernie,379,1,6,9,1706,0,1,0,8351,0,1,0,0
131,15740404,He,367,0,16,3,0,1,1,1,6232,0,1,0,0
132,15718369,Kaodilinakachukwu,404,0,15,9,4162,0,1,1,5753,0,0,1,0
133,15677871,Cocci,296,1,20,9,3442,0,1,1,1743,0,1,0,0
134,15642004,Alekseeva,295,1,7,1,0,1,0,1,819,0,1,0,0
135,15712543,Chinweike,398,1,21,7,3641,1,1,1,6239,0,0,1,0
136,15584518,Arthur,198,0,32,5,5128,1,1,1,1714,0,0,1,0
137,15802381,Li,70,0,16,5,211,0,0,1,8377,0,0,1,0
138,15610156,Ma,246,1,22,2,4359,0,0,1,4660,0,1,0,0
139,15594408,Chia,193,0,30,2,6375,0,1,0,3723,1,0,0,1
140,15640905,Vasin,188,0,17,1,4046,1,0,1,423,1,0,0,1
141,15698932,Groves,365,1,26,10,4633,0,1,0,9468,0,0,1,0
142,15724944,Tien,272,1,16,7,0,1,1,1,9035,0,1,0,0
143,15628145,Forwood,291,0,25,5,3727,0,1,1,9657,0,1,0,0
144,15713483,Greeves,402,1,34,2,0,0,1,0,7955,1,0,0,1
145,15612350,Taylor,300,0,13,5,36,0,1,0,6336,1,1,0,0
146,15800703,Madukwe,94,0,3,5,2626,0,1,1,2651,0,0,0,1
147,15705707,Bennelong,244,0,11,8,4715,1,1,0,7083,0,0,0,1
148,15754105,Olisanugo,259,1,19,5,2115,0,0,0,1192,0,1,0,0
149,15703264,Chukwufumnanya,344,1,26,9,3249,0,1,0,3704,0,1,0,0
150,15794413,Harris,25,1,14,0,0,1,0,1,50,0,1,0,0
151,15650237,Morgan,363,0,14,7,0,1,1,0,4473,0,0,0,1
152,15759618,Alexeeva,144,0,30,9,0,0,1,0,7537,1,1,0,0
153,15811589,Metcalfe,325,1,24,8,0,1,1,0,9058,0,0,0,1
154,15689044,Humphries,148,1,19,2,3877,0,1,0,4930,0,1,0,0
155,15709368,Milne,223,0,25,6,0,1,1,1,5473,0,1,0,0
156,15679145,Chou,315,1,39,7,0,0,1,0,885,1,0,0,1
157,15655007,Li,367,0,15,7,0,1,0,0,4134,0,1,0,0
158,15623595,Clayton,195,0,10,2,0,1,1,1,4599,0,0,0,1
159,15589975,Maclean,255,0,55,6,1387,0,0,1,5256,0,1,0,0
160,15804017,Chigolum,240,0,15,4,3493,0,0,0,5647,0,0,1,0
161,15692132,Wilkinson,326,0,4,6,1654,0,0,1,4229,0,0,0,1
162,15641122,Wei,293,1,12,2,0,1,1,0,4163,0,1,0,0
163,15630910,Treacy,409,0,31,7,2195,0,0,0,2298,0,1,0,0
164,15680772,Hu,330,0,18,2,0,1,1,1,5372,0,0,0,1
165,15658929,Taverner,292,1,11,0,4379,0,1,0,2730,1,0,0,1
166,15585388,Sherman,269,1,13,9,3663,1,1,1,7014,0,0,1,0
167,15724623,Taubman,313,0,6,7,2615,0,1,0,8113,1,0,1,0
168,15588537,Robinson,224,0,23,9,2287,0,1,0,9811,0,0,0,1
169,15574692,Pinto,276,0,21,2,0,1,1,0,1987,1,0,0,1
170,15611325,Wood,291,1,6,9,132,1,0,0,2603,0,0,1,0
171,15587562,Hawkins,93,0,11,4,4110,0,1,0,8195,0,1,0,0
172,15613172,Sun,237,1,9,5,1287,1,1,0,7804,0,0,1,0
173,15651022,Yost,89,1,26,10,4056,0,1,0,282,1,0,1,0
174,15586310,Ting,187,1,12,4,6053,0,1,0,5617,0,1,0,0
175,15625524,Rowe,121,1,22,5,0,1,1,1,7360,0,1,0,0
176,15755209,Fu,93,0,17,7,4396,0,1,1,1337,0,0,0,1
177,15645248,Ho,119,0,12,0,0,1,1,1,6547,0,1,0,0
178,15790355,Okechukwu,215,1,18,5,6317,1,0,0,8975,0,0,1,0
179,15762615,Campbell,206,0,22,8,1716,0,0,1,4750,0,0,0,1
180,15625426,Ashbolt,363,0,37,3,5849,0,1,0,401,1,0,1,0
181,15716334,Rozier,459,0,27,2,3405,0,1,1,957,0,0,0,1
182,15789669,Hsia,119,1,47,2,0,1,1,1,2346,0,1,0,0
183,15621075,Ogbonnaya,387,0,27,1,5867,1,1,0,8717,0,0,1,0
184,15810845,T'ang,245,1,24,2,0,1,1,1,2724,0,1,0,0
